Frame Rate:,23.9760239760
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
21,00:00:00.876,0.0,0.0,0.0,0.0
22,00:00:00.918,0.0,0.0,0.0,0.0
23,00:00:00.959,0.0,0.0,0.0,0.0
24,00:00:01.001,0.0,0.0,0.0,0.0
25,00:00:01.043,0.0,0.0,0.0,0.0
26,00:00:01.084,0.0,0.0,0.0,0.0
27,00:00:01.126,0.0,0.0,0.0,0.0
28,00:00:01.168,0.0,0.0,0.0,0.0
29,00:00:01.210,0.0,0.0,0.0,0.0
30,00:00:01.251,0.0,0.0,0.0,0.0
31,00:00:01.293,0.0,0.0,0.0,0.0
32,00:00:01.335,0.0,0.0,0.0,0.0
33,00:00:01.376,0.0,0.0,0.0,0.0
34,00:00:01.418,0.0,0.0,0.0,0.0
35,00:00:01.460,0.0,0.0,0.0,0.0
36,00:00:01.501,0.0,0.0,0.0,0.0
37,00:00:01.543,0.0,0.0,0.0,0.0
38,00:00:01.585,0.0,0.0,0.0,0.0
39,00:00:01.627,91.97980902777778,92.71527777777777,1.4404340277777778,181.7837152777778
40,00:00:01.668,12.278385416666666,5.965,4.5340798611111115,26.336076388888888
41,00:00:01.710,5.513125,1.9102604166666666,9.600590277777778,5.028524305555556
42,00:00:01.752,8.328211805555556,2.927986111111111,12.446475694444445,9.610173611111112
43,00:00:01.793,7.501024305555556,2.521267361111111,12.686597222222222,7.295208333333333
44,00:00:01.835,6.646759259259259,1.2921180555555556,14.85751736111111,3.7906423611111113
45,00:00:01.877,7.334664351851852,1.6417534722222222,17.0,3.3622395833333334
46,00:00:01.919,5.7288194444444445,0.3972048611111111,15.580364583333333,1.208888888888889
47,00:00:01.960,6.249965277777778,0.7850520833333333,16.998541666666668,0.9663020833333333
48,00:00:02.002,6.256851851851852,0.7555729166666667,15.681354166666667,2.3336284722222222
49,00:00:02.044,6.087928240740741,0.4635763888888889,16.870920138888888,0.9292881944444444
50,00:00:02.085,4.810555555555555,0.8988715277777778,13.298836805555556,0.23395833333333332
51,00:00:02.127,4.714050925925926,1.4348263888888888,11.115520833333333,1.5918055555555555
52,00:00:02.169,4.78125,1.8028993055555556,8.918871527777778,3.6219791666666667
53,00:00:02.211,2.76775462962963,0.2053472222222222,5.857100694444444,2.2408159722222223
54,00:00:02.252,2.462795138888889,2.093732638888889,2.8524131944444444,2.4422395833333335
55,00:00:02.294,0.17288773148148148,0.2966840277777778,0.09954861111111112,0.12243055555555556
56,00:00:02.336,0.09090277777777778,0.08427083333333334,0.06944444444444445,0.11899305555555556
57,00:00:02.377,0.14351851851851852,0.20131944444444444,0.08118055555555556,0.14805555555555555
58,00:00:02.419,0.08824652777777779,0.07565972222222223,0.06741319444444445,0.12166666666666667
59,00:00:02.461,0.09868634259259258,0.09425347222222222,0.06414930555555555,0.13765625
60,00:00:02.502,0.11501157407407407,0.10102430555555555,0.09395833333333334,0.15005208333333334
61,00:00:02.544,0.09249421296296297,0.07348958333333333,0.06493055555555556,0.1390625
62,00:00:02.586,0.10678819444444444,0.08772569444444445,0.07215277777777777,0.1604861111111111
63,00:00:02.628,0.5897395833333333,0.6697222222222222,0.11493055555555555,0.9845659722222222
64,00:00:02.669,0.6992592592592594,0.7524131944444444,0.10347222222222222,1.241892361111111
