,correlation,intersection,bhattacharyya
0,0.7960699714455404,1.5687927085638608e-09,20.21148656639034
1,0.7885962028601446,1.829574985592725e-09,20.03740486629289
2,0.9386726632626404,5.688119740477997e-09,18.923430796208415
3,0.9817472478052968,6.809298038032259e-09,18.736188707688342
4,0.8258638697335674,2.9547577641373525e-09,19.55322509674757
5,0.8203129110768759,2.983996658489307e-09,19.56088108863787
6,0.8147850962932737,2.970881164891452e-09,19.5610739222625
7,0.806848094866925,2.9910235951590344e-09,19.55031201872091
8,0.8887292298917464,4.389758616906146e-09,19.188141840584766
9,0.5342087910023128,5.157524190689953e-10,21.323272824160536
