,correlation,intersection,bhattacharyya
212,0.9805462161755294,0.02203430053297751,3.7188981013369795
213,0.2214898472344561,0.0017407482793194173,6.280817820778671
214,0.13011742652601366,0.00040973682821840766,7.656590522056203
215,0.9842268229281679,0.021749945345304597,3.7233609238504557
216,0.454515880783209,0.006468763899254433,4.986137855259245
217,0.9861274917913743,0.02228687307295082,3.7165329913558685
218,0.45268748666503866,0.006305025970403543,4.996781491809104
219,0.148275920202842,0.0003983988058891376,7.7490341769013416
220,0.5102501735335389,0.0076163164996871455,4.797916634373475
221,0.9918095206240817,0.022966611635042322,3.7084989710231593
222,0.9880437601673147,0.022584858010870637,3.7120565560255674
223,0.9792526553511891,0.02158186519513612,3.723086330115374
224,0.4754398612577926,0.006678276077828285,4.831266168231461
225,0.14430588062268848,0.000444896759165027,7.524510636740754
226,0.9967075000889741,0.023581759655034635,3.7047207697133673
227,0.5146318052701375,0.007945119147235988,4.760714043496732
228,0.14066085164900652,0.000412088864765437,7.645573000369236
229,0.13078475844021978,0.00035968066580726856,7.88974073916533
230,0.10011588278225118,0.000294607654672788,8.04264434363016
231,0.993535218681753,0.023357833714031558,3.705748584907672
232,0.11673841857605545,0.00035069468002502807,7.86971494536628
233,0.11790168882943652,0.0003877844871127997,7.806125057401371
234,0.16779926189967226,0.0016295391666855134,6.280305057789375
235,0.10829761626557244,0.00041703417237713995,7.710354293688036
236,0.988976314906632,0.022477810193666094,3.713719268059665
237,0.09835564782431472,0.0003979163368538496,7.809853043915791
238,0.08937437170698707,0.0005182320525288162,7.475037618843146
239,0.08380098891306702,0.0004063595449713911,7.727968620753863
240,0.0862403385837236,0.00044549984545913713,7.682625835587706
241,0.9924279083411932,0.02292867750714281,3.708796478635631
242,0.07503538180435702,0.0004294577500358083,7.622175390083098
243,0.05846860247722526,0.000510391930705385,7.455297047692571
244,0.045951597665855666,0.00039701170741268443,7.809491291768928
245,0.05713604968451154,0.0007583810148434614,7.102109327496049
246,0.9938171208311495,0.023103632841064158,3.706778875134843
247,0.040855000549834035,0.00046365274291185134,7.501664648471503
248,0.0446207612352997,0.0006865534372149474,7.157391268381277
249,0.030380897343733424,0.00046395428605890647,7.666635814502055
250,0.028093286713585193,0.0004890426758938869,7.52612672832965
251,0.027686236618668987,0.00048451952868806114,7.580102172182561
252,0.032370993681911514,0.0005378926657168058,7.372744161832957
253,0.04817552202678448,0.0007794287265079042,6.776031371883374
254,0.07339002728274514,0.001210936969943687,6.503171818769668
255,0.99968512502994,0.024403042570353785,3.700397632782968
256,0.13780632083813432,0.0018777091767118227,5.941563294987947
257,0.3950382095022475,0.0036778614560010856,4.98146098886686
258,0.9013516752479539,0.013242930697846227,3.9973793927469217
259,0.9998273837141904,0.02423864124657937,3.7127110231493257
260,0.9999991783037595,0.024690413189497256,3.700108319640351
261,0.9999986010145916,0.024681005043309136,3.700141464397904
262,0.9999997498570135,0.024704826951926485,3.700092484517499
263,0.999999339369612,0.024686975597620828,3.700259705072138
264,0.9999927987386482,0.024629079313386256,3.700359080834093
265,1.0,0.024721713368161567,3.700073337784772
266,0.9999759462541236,0.02455188426774016,3.7015441044961954
267,0.999524583506957,0.02378765331584383,3.7143488109195832
268,0.033733529804252975,0.0004485152769296877,5.724808905502798
269,0.001826363170663286,0.0004485152769296877,7.62497138592237
270,0.9999673065261515,0.02456038778448711,3.700132773433752
271,0.045336010524592,0.000516724336793541,5.960516032835492
272,0.7361197531968814,0.011551635494643839,4.4069796465471365
273,0.9654224309730692,0.020327506012016498,3.7459496793538363
274,0.3776449570397338,0.005761403984892688,4.99432076693275
275,0.9998443987095239,0.024291170062796366,3.7008582646151984
276,0.3020119073520746,0.0049559822391086385,5.243505399048497
277,0.31846033786610994,0.004389201739903959,5.366869350954926
278,0.337414961483825,0.003983807133003143,5.475937318076242
279,0.2184637366466045,0.001811429992989122,5.88967612027783
280,0.9998064500880544,0.02446166255814128,3.7005246577194213
281,0.020362625055835144,0.00045153070840023816,6.570487828429023
282,0.0030265329879309967,0.00031613783537251885,7.842662265272115
283,0.037074693129792696,0.000450505461700251,7.009755887183879
284,0.23890147825429112,0.0018101032031420795,6.260028038976904
285,0.9999116751211745,0.02450936668400538,3.700858527882156
286,0.9849415019502216,0.022195565808022545,3.714514696345039
287,0.28305199400911957,0.0030304483192738836,5.740821067335219
288,0.9576099408193357,0.0211211675750654,3.726414859966892
289,0.2147310213690154,0.0013047168886778087,6.5319543907818645
290,0.9991200494263102,0.023958809206112285,3.7027093958237787
291,0.17118378566111048,0.0012061122795908059,6.56483791795685
292,0.19377220592264272,0.0014700228418933895,6.388336982855395
293,0.21601734152017474,0.0019315044741464444,6.231909569918288
294,0.5466812850533933,0.007958990132000514,4.774312562327738
295,0.9984197112272158,0.023682957535186337,3.7042086985972094
