,correlation,intersection,bhattacharyya
139,0.5715639217940715,0.02786457697265756,3.148743017542271
140,0.9451578961450401,0.08566876993011727,2.2046128588007243
141,0.39563932283243236,0.026092347588785626,3.1790473459395496
142,0.3355477793841765,0.023690375496603872,3.2291325470330574
143,0.5698788164749639,0.0645836669154397,2.423564155888581
144,0.48449972180007966,0.06175899163971621,2.4519559207866526
145,0.5390705394521503,0.07523429148668297,2.2999204037576084
146,0.4881725047304018,0.07363406231389127,2.3052906236750355
147,0.33644897541689234,0.057312858553648184,2.5208744586578455
148,0.4328990405219172,0.0706513181204814,2.4077774727263
149,0.37642541057555695,0.06979770977979799,2.3564910250143876
150,0.6551243136336914,0.06565607496362623,2.4771869298983265
151,0.08648588797292954,0.021164589788241317,3.2782338040624763
152,0.9436626255750361,0.09589361557771883,2.126638064897916
153,0.9900327351784145,0.10984487112799743,2.1041902236921697
154,0.8367115276290619,0.08894316665535866,2.1459541537346802
155,0.6304538558331135,0.07884352172241434,2.272935023379544
156,0.9821111223227642,0.11388476528635282,2.1154537057237683
157,0.004347475058460733,0.0049889107507670605,5.209046307777249
158,0.008629240406243967,0.0031986490867011936,5.432959287669227
159,0.022501489310449468,0.004334863664804641,4.745946395892373
160,0.05556957713118556,0.003238935251147749,5.477029617456094
161,0.11138203599580743,0.0038406344467814043,5.504117309355282
162,0.17314124716206997,0.004514523071820041,5.185312367745754
163,0.22488460231744045,0.013004832228931559,3.5623401622177964
164,0.20029693680660887,0.003658140534183686,5.400198247416105
165,0.193523370347426,0.003903234804110033,5.359430813283745
166,0.2256875239446456,0.004056056871037534,5.12485743801152
167,0.2713025485797266,0.01694003060662943,3.3372161640186673
168,0.26284043066545615,0.004080421557319578,5.365799972323165
169,0.2850518928503401,0.004489615607873293,5.258495275934692
170,0.999708842076767,0.1190732372918407,2.093945586043885
171,0.3070727648262135,0.006173130997881658,5.005794254453594
172,0.3074861015857894,0.006205034262840083,5.007667286338169
173,0.9994297973011177,0.118345493060738,2.0942988715482564
174,0.9987419374948882,0.11743567707744346,2.0947131835113675
175,0.998686060498829,0.1174465929393669,2.094637134421402
176,0.9995532823410525,0.1187077669976097,2.093768671247064
177,0.9970281533516873,0.11471527542197167,2.097442248193966
178,0.9985115629333765,0.11685092460667429,2.0950019322022198
179,0.9990395922016183,0.11756835606214788,2.0944809525974453
180,0.295547806205579,0.0060272444233364164,5.037619274108911
181,0.9995055251173496,0.11848251426675993,2.093673669329456
182,0.9971944913524684,0.11498859413046245,2.0964639320828202
183,0.9985703371916185,0.11671993426359364,2.0946158847747687
184,0.9988117077439175,0.11744068269368482,2.093649379166073
185,0.3087390284462719,0.005697898998122899,5.115264152459477
186,0.9994060219288086,0.11831232331456211,2.0928848927886903
187,0.9273921244788056,0.0886939713986323,2.3817716259258277
188,0.9989097957158369,0.11778028058589801,2.0938796263839388
189,0.9995516982966907,0.11846580877641318,2.09323895218714
190,0.3209956099560338,0.009505544624616488,4.598244371944832
191,0.3210589670566023,0.009558133749462903,4.595503316483926
192,0.5906920029250582,0.061573120443871386,2.7473430214985637
193,0.5913390685339927,0.06096834550813774,2.750051077641143
194,0.9299219643640774,0.08911589056999175,2.378566393718682
195,0.6401306398256715,0.054283978258738944,2.875086824570302
196,0.7074050225777306,0.08068281430219121,2.4684454445767834
197,0.4567264442720171,0.035026166406585596,3.3042594106088625
198,0.4550645459533166,0.03521324377501851,3.305001931887766
199,0.9310789464365139,0.08972506803567236,2.374183021321637
200,0.9303951347519729,0.08977295308742465,2.372383990942558
201,0.9995972243718494,0.118492947659648,2.0939291205751287
202,0.9972194016882163,0.11481490527775882,2.097407116502833
203,0.9290111215639953,0.08866538510829133,2.3723629624151985
204,0.3320425478183304,0.01796931798478715,3.934427270260945
205,0.9983039214200568,0.1161185366111071,2.0951857936042693
206,0.9992641571473232,0.1187730209346327,2.092282472833581
207,0.29398540770987724,0.005181234969958772,4.985669113454231
208,0.542693538052123,0.08754979608144682,2.362869183479766
209,0.4471589937667238,0.06659393445959697,2.6330314763556166
